"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGFFFLIJ_00347",476.780099670513,5.58960311169618,0.289626366281709,19.2993586304203,5.43799649346759e-83,1.0582082224074e-80
"FGFFFLIJ_01404",481.239263731495,-3.57144530986488,0.188039930932876,-18.9930154310669,1.94813798121356e-80,3.70282133033918e-78
"FGFFFLIJ_04820",395.331166255944,-4.02393870398149,0.213102656002497,-18.8826304630119,1.58492436645518e-79,2.94399701069049e-77
"FGFFFLIJ_03725",4008.27141650782,-4.06510714591869,0.217705177694781,-18.6725331430468,8.28293578049285e-78,1.50436520297707e-75
"FGFFFLIJ_03870",466.121494134976,3.86707360489212,0.207368501803146,18.6483172288292,1.30314685541158e-77,2.3153520107128e-75
"FGFFFLIJ_00346",402.007039867964,5.12431492612809,0.276536810328567,18.5303176095784,1.1759082126308e-76,2.04482932379394e-74
"FGFFFLIJ_01623",17993.0670917065,-2.36846994169037,0.128201020848732,-18.4746574248031,3.30317326873888e-76,5.6243406511256e-74
"FGFFFLIJ_04100",892.429807290241,8.36709571186528,0.453828912347716,18.4366740069098,6.67212931032472e-76,1.11288393578131e-73
"FGFFFLIJ_01674",1536.07435389541,-3.01316922868466,0.16399716361364,-18.3733008686868,2.14933607510858e-75,3.51330474837249e-73
"FGFFFLIJ_00014",2280.62167170728,-3.28070460428819,0.179257680736106,-18.3016124654534,8.03356563284102e-75,1.28741827288646e-72
"FGFFFLIJ_03547",773.971904646383,3.72130795340137,0.203526129643893,18.2841778591894,1.10618843933372e-74,1.73863040666817e-72
"FGFFFLIJ_01062",5618.89121597994,-3.02630324232997,0.165949427049622,-18.2362982273211,2.65865490005949e-74,4.09984650909174e-72
"FGFFFLIJ_08283",2689.19006328321,3.00125821782775,0.164794990066573,18.2120719605331,4.13979284132116e-74,6.26565312816997e-72
"FGFFFLIJ_01629",15527.3062766682,-2.20793803960813,0.121299452268089,-18.2023743580332,4.94185921169487e-74,7.34360278857858e-72
"FGFFFLIJ_01710",2056.93415902271,-3.10086688556687,0.170684967201103,-18.1671938449823,9.38783534673242e-74,1.37012104087222e-71
"FGFFFLIJ_01513",3774.13369928935,-2.64193730844598,0.145558090491295,-18.1503982329583,1.27473350657723e-73,1.82778893846591e-71
"FGFFFLIJ_00350",826.377031096151,2.92688306121496,0.161557502817195,18.1166644085033,2.35443235333527e-73,3.31771993513951e-71
"FGFFFLIJ_06746",2032.47225064848,2.94464842059642,0.163791093957425,17.978074078691,2.89370667282572e-72,4.00851943000078e-70
"FGFFFLIJ_04027",14855.0635946604,-2.38773406374682,0.132938957486403,-17.9611312507174,3.92721790069967e-72,5.34952531706974e-70
"FGFFFLIJ_00070",1223.29082795437,-2.95679452989821,0.164633364130426,-17.9598743275135,4.0171624287817e-72,5.38233910334965e-70
